timestamp,x_cam,y_cam,theta_cam,vL,vR
1764516120.3991199,483.75,171.5,-2.5195606,33,29
1764516120.4324539,483.0,171.5,-2.5105133,33,29
1764516120.465788,482.5,170.75,-2.4980915,33,29
1764516120.499122,482.0,170.5,-2.5105133,33,29
1764516120.532456,481.75,170.5,-2.5012362,33,29
1764516120.56579,481.25,169.5,-2.5012362,33,29
1764516120.599124,481.0,169.5,-2.5105133,33,29
1764516120.632458,480.5,169.0,-2.485897,33,29
1764516120.665792,480.0,168.5,-2.5105133,33,29
1764516120.699126,479.75,168.5,-2.5012362,33,29
1764516120.73246,479.25,167.5,-2.5012362,33,29
1764516120.7891252,478.5,167.25,-2.4980915,33,29
1764516120.8251991,478.25,166.5,-2.5012362,33,29
1764516120.8585331,477.75,166.5,-2.5012362,33,29
1764516120.891867,477.5,165.75,-2.4980915,33,29
1764516120.927797,477.0,165.5,-2.5105133,33,29
1764516120.961131,476.5,165.25,-2.4980915,33,29
1764516120.9966762,476.0,165.0,-2.4668517,33,29
1764516121.0300102,475.75,164.5,-2.5012362,33,29
1764516121.0633442,475.25,164.0,-2.47649,33,29
1764516121.0966778,475.25,163.75,-2.488746,33,29
1764516121.1300118,474.5,163.5,-2.485897,33,29
1764516121.1633458,474.0,163.0,-2.4668517,33,29
1764516121.1966798,474.0,162.75,-2.4791663,33,29
1764516121.2300138,473.25,162.0,-2.4569755,33,29
1764516121.2633479,473.0,161.75,-2.4791663,33,29
1764516121.296682,472.5,161.5,-2.485897,33,29
1764516121.330016,472.25,161.0,-2.4569755,33,29
1764516121.36335,472.0,160.75,-2.4791663,33,29
1764516121.396684,471.5,160.25,-2.454775,33,29
1764516121.430018,471.0,159.75,-2.4791663,33,29
1764516121.463352,470.25,159.5,-2.47649,33,29
1764516121.496686,470.25,159.0,-2.4569755,33,29
1764516121.53002,470.0,158.5,-2.4668517,33,29
1764516121.563354,469.5,158.0,-2.4429328,33,29
